account_id,account_type,interest_rate,credit_limit
IUPM04409079772781,checking,,
BLAT22216107051843,checking,,
UTXA55295806601382,checking,,
XICF70493862044851,checking,,
KOSW19711121259020,checking,,
GULO13432406424295,checking,,
NHGI32447417595587,checking,,
UVFB96289365435884,checking,,
CQYG43740182727955,checking,,
SMVS05150267551254,checking,,
FORF07979966734595,checking,,
PVMJ03816649690282,checking,,
JTWQ39225014257627,checking,,
AVEG24412336132850,checking,,
PFLD78637673162526,checking,,
YKJV69681579039235,checking,,
LKQA99613273034615,checking,,
MUFN24467046226817,checking,,
ZCLV16025298670766,checking,,
YBJN41978575851268,checking,,
YMVC20594389760740,checking,,
DPOL09546540842456,checking,,
AOKJ09150863218122,checking,,
UPNI57938970155029,checking,,
XUZD68154660241613,checking,,
SIJT88305973642480,checking,,
TMFV44063062447951,checking,,
HHAW53194979695867,checking,,
RAKK55727738264609,checking,,
CUPR51385445770299,checking,,
FTLS66048736826911,checking,,
MGGD94226865369455,checking,,
UDVV58886367747226,checking,,
JARK72169666309329,checking,,
TQCT96059329715096,checking,,
RQGF75327352410397,checking,,
OHVT73278195237100,checking,,
VVNQ76164819807704,checking,,
ZMXY05687611249125,checking,,
NVKE37341517734547,checking,,
KZOW49490228403595,checking,,
WJJW29477422294643,checking,,
AGSJ29045886792529,checking,,
QKQL67287276015343,checking,,
HEIT13577908335061,checking,,
KQCI88810798334233,checking,,
WWOF09484131284033,checking,,
HSYS77180513717173,checking,,
DRSG97490961739970,checking,,
IYNT47258784448354,checking,,
VRQJ71270587722164,checking,,
DOKU82313348458714,checking,,
TGSV25236229258796,checking,,
YXIH47452455574696,checking,,
YNAY60652740334450,checking,,
KNZM58833987411325,checking,,
XPXS70673499601054,checking,,
RLOJ17215622949381,checking,,
OHKS84884021557325,checking,,
OHOL53449021666708,checking,,
BQLA96085874951191,checking,,
RYDR28197931647725,checking,,
CFUS57860694096003,checking,,
KNEI39587395923234,checking,,
FDAR90285155333426,checking,,
IHGY50271607360776,checking,,
GGYM91128981231795,checking,,
XKNG31857481700666,checking,,
DLLJ16431670450232,checking,,
SAEQ22700934596262,checking,,
FQEX25120734654950,checking,,
ZAKA70260869822105,checking,,
HCNC17768729047742,checking,,
KVRL91779323822311,checking,,
WMJT13342457988942,checking,,
KNLV29060320203265,checking,,
ASPP53967379487148,checking,,
KKFI57871584156082,checking,,
DHOD18425476818268,checking,,
GEVH03589298808583,checking,,
WQFL21293289634064,checking,,
MQNP75240148439910,checking,,
YNEE72362669335134,checking,,
EMDX92372450184819,checking,,
PHVO41897215406417,checking,,
NSFW74381199537660,checking,,
UDYI44856451017397,checking,,
HSNV41789969860919,checking,,
ZUDS11359966057798,checking,,
BMZU60392051460745,checking,,
VLLH47057423885652,checking,,
PCKL98354116597263,checking,,
IWPL57522501394884,checking,,
YRRF69131196425856,checking,,
EMDX49915370382407,checking,,
HWHH37320430977688,checking,,
SGNF89696454655358,checking,,
LCWE53892187851935,checking,,
WWUR37490797796120,checking,,
RORU05721514940976,checking,,
WYEM37484539862895,checking,,
ATBW59119186233922,checking,,
AUPX15116966672521,checking,,
JLFW64712463351571,checking,,
QIAT08051208005640,checking,,
ZSSL12397283512959,checking,,
FOWY28270908144152,checking,,
SQFD73929578671815,checking,,
HLEH73605079181589,checking,,
SWRQ68345273466661,checking,,
PAPD58796474080314,checking,,
SXSR25080046358068,checking,,
QFQL03172351373990,checking,,
BMGW14035263560229,checking,,
HTVI69434606664374,checking,,
TAUW60723111271285,checking,,
FXIV64844941163187,checking,,
GEQB77113062113695,checking,,
OXEO90833509025425,checking,,
OGUB66248132357071,checking,,
HTQJ82285011688092,checking,,
XKLB21306090691309,checking,,
RCAU79649673794577,checking,,
EORL32426425064207,checking,,
NWRH62536667776755,checking,,
KVME83333939578654,checking,,
GMEP18749603358268,checking,,
NFOA36924926932657,checking,,
HXEY75998011100051,checking,,
KLGX23415959775244,checking,,
DZRF22618962887431,checking,,
