transaction_id,account_id,date,amount,merchant,raw_category
bdd640fb-0667-4ad1-9c80-317fa3b1799d,IUPM04409079772781,2023-11-05 15:54:38,3198.94,houston group,transport
23b8c1e9-3924-46de-beb1-3b9046685257,BLAT22216107051843,2024-04-21 22:21:55,129.93,anderson-phillips,grocery
bd9c66b3-ad3c-4d6d-9a3d-1fa7bc8960a9,UTXA55295806601382,2023-07-17 13:25:56,1378.77,jensen group,shopping
972a8469-1641-4f82-8b9d-2434e465e150,XICF70493862044851,2023-06-27 16:09:52,1119.94,"nelson, gomez and rodriguez",healthcare
17fc695a-07a0-4a6e-8822-e8f36c031199,KOSW19711121259020,2024-03-26 23:45:31,3683.67,caldwell group,entertainment
9a1de644-815e-46d1-bb8f-aa1837f8a88b,GULO13432406424295,2023-08-06 20:56:56,3385.11,sanchez llc,healthcare
b74d0fb1-32e7-4629-8fad-c1a606cb0fb3,NHGI32447417595587,2023-04-20 22:46:13,4461.44,"robertson, harvey and neal",savings
6b65a6a4-8b81-48f6-b38a-088ca65ed389,UVFB96289365435884,2024-04-15 02:24:06,439.26,"armstrong, cook and rodriguez",transport
47378190-96da-4dac-b2ff-5d2a386ecbe0,CQYG43740182727955,2024-07-13 05:44:00,2112.5,white-frederick,entertainment
c241330b-01a9-471f-9e8a-774bcf36d58b,SMVS05150267551254,2023-12-25 07:40:39,153.84,"christian, schroeder and drake",clothing
6c307511-b2b9-437a-a8df-6ec4ce4a2bbd,FORF07979966734595,2023-05-29 23:23:20,1097.1,vasquez inc,housing
371ecd7b-27cd-4130-8722-9389571aa876,PVMJ03816649690282,2023-04-19 11:02:33,2529.25,"wyatt, bentley and lang",savings
1a2a73ed-562b-4f79-8374-59eef50bea63,JTWQ39225014257627,2025-01-02 18:46:56,137.55,christian group,electronics
5be6128e-18c2-4797-a142-ea7d17be3111,AVEG24412336132850,2024-05-07 09:13:03,998.19,wood-anderson,clothing
43b7a3a6-9a8d-4a03-980d-7b71d8f56413,PFLD78637673162526,2024-02-21 23:01:32,3251.17,gordon-wright,education
759cde66-bacf-43d0-8b1f-9163ce9ff57f,YKJV69681579039235,2023-10-16 19:58:34,2726.98,haney-phillips,utilities
ec1b8ca1-f91e-4d4c-9ff4-9b7889463e85,LKQA99613273034615,2024-08-15 11:24:02,1106.1,"parker, davis and hill",savings
4b0dbb41-8d52-48f1-942c-3fe860e7a113,MUFN24467046226817,2024-07-07 08:16:15,2948.38,morales ltd,clothing
e2acf72f-9e57-4f7a-a0ee-89aed453dd32,ZCLV16025298670766,2024-08-17 00:21:16,4048.11,patrick-cross,fitness
3139d32c-93cd-49bf-9c94-1cf0dc98d2c1,YBJN41978575851268,2024-09-19 23:38:00,37.46,hudson-martin,savings
a9488d99-0bbb-4599-91ce-5dd2b45ed1f0,YMVC20594389760740,2024-05-21 15:22:17,4030.07,"patterson, barnes and walton",savings
fc377a4c-4a15-444d-85e7-ce8a3a578a8e,DPOL09546540842456,2023-04-24 01:11:11,3492.21,burton-williams,healthcare
ddd1dfb2-3b98-4ef8-9af6-1a26146d3f31,AOKJ09150863218122,2023-10-12 00:47:22,1704.55,"hart, jones and hunter",clothing
7412b293-4729-4739-a14f-f3d719db3ad0,UPNI57938970155029,2023-11-06 21:11:36,781.62,wright plc,grocery
29a3b2e9-5d65-4441-9588-42dea2bc372f,XUZD68154660241613,2024-05-24 11:09:59,4786.28,gonzales-valdez,fitness
ab9099a4-35a2-40ae-9af3-05535ec42e08,SIJT88305973642480,2024-12-29 10:19:33,1686.29,allen llc,savings
aefcfad8-efc8-4849-b3aa-7efe4458a885,TMFV44063062447951,2024-08-10 22:10:04,468.27,stark llc,electronics
a28defe3-9bf0-4273-9247-6f57a5e5a5ab,HHAW53194979695867,2024-07-15 05:40:40,488.1,"rice, williams and schneider",travel
3eabedcb-baa8-4dd4-88bd-64072bcfbe01,RAKK55727738264609,2023-06-17 02:09:55,4238.23,"rhodes, rivas and perez",shopping
451b4cf3-6123-4df7-b656-af7229d4beef,CUPR51385445770299,2024-03-27 05:54:24,3020.61,thomas-brown,entertainment
b02b61c4-a3d7-4628-ace6-6fa2fd5166e6,FTLS66048736826911,2024-02-24 00:41:27,4036.61,jones-hunt,food
5304317f-af42-412f-b838-b3268e944239,MGGD94226865369455,2023-09-01 22:45:52,3650.01,rodriguez and sons,clothing
0e51f30d-c6a7-4e39-84b0-32ccd7c524a5,UDVV58886367747226,2024-09-06 01:02:27,2683.46,perez-brown,shopping
ce177b4e-0837-48a3-9261-a7ab3aa2e4f9,JARK72169666309329,2023-12-22 11:55:43,4865.71,"wilson, obrien and mcdonald",shopping
10f1bc81-448a-4a9e-a6b2-bc5b50c187fc,TQCT96059329715096,2024-04-09 23:26:18,1895.78,hernandez plc,transport
9132b63e-f162-47e4-a9c3-49e03602f8ac,RQGF75327352410397,2024-06-13 02:47:58,2762.44,"neal, davidson and lopez",clothing
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,OHVT73278195237100,2024-01-06 18:38:03,4147.88,lynch llc,savings
e27a984d-6548-41d0-bfcd-9eb1a7cad415,VVNQ76164819807704,2023-10-19 06:28:17,3094.51,"cline, green and lopez",entertainment
24933b83-7577-40a9-a491-f0b2ea1fca65,ZMXY05687611249125,2024-10-24 08:56:34,4309.23,payne-campbell,entertainment
beb79919-3f22-4af8-a3be-d01d43cf2fde,NVKE37341517734547,2024-06-21 19:07:32,2888.87,bentley-matthews,entertainment
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,KZOW49490228403595,2023-07-25 10:42:49,3524.34,"farmer, jackson and wang",travel
956269f0-e5d7-4875-adad-d6c795a76d79,WJJW29477422294643,2024-03-01 19:47:04,233.89,burns plc,fitness
ff50bde4-3825-47b8-9cab-cc97663f1c97,AGSJ29045886792529,2023-09-05 22:06:35,1143.35,fuentes-smith,food
7e570ddf-8270-40a8-a369-b584ff5e9ff0,QKQL67287276015343,2024-01-16 17:36:51,1450.49,"shaffer, hodge and taylor",utilities
dc713d96-0c0f-4195-817a-f08a1745d6d8,HEIT13577908335061,2023-07-10 01:21:43,403.56,"spears, brown and potter",transport
28f49481-a0a0-4dc4-a720-9bdf1c11f735,KQCI88810798334233,2023-11-16 15:25:50,1167.79,zavala plc,food
98ae4334-6c12-4ce8-ae34-0454cac5b68c,WWOF09484131284033,2023-10-12 21:35:34,509.5,hart ltd,entertainment
988c24c9-61b1-4d22-a280-1c4510435a10,HSYS77180513717173,2024-04-07 09:25:27,1393.48,"mejia, marshall and allen",housing
405cacec-8774-49a9-b7d2-1e02ff01cf99,DRSG97490961739970,2024-10-17 05:00:48,3180.24,"fowler, arnold and ramirez",clothing
f143262f-dc5c-4eed-8da0-365bf89897b9,IYNT47258784448354,2023-06-03 05:58:19,1827.34,livingston-lee,travel
1d53434b-b881-49b9-ae27-0da702f06b90,VRQJ71270587722164,2024-02-08 18:20:40,1854.05,allen-moyer,education
c0398710-8976-4334-a281-7efdae849217,DOKU82313348458714,2024-08-14 11:39:37,1051.49,"phillips, snyder and lyons",electronics
5715bd6f-a416-4293-84c2-e2e3444ea7c8,TGSV25236229258796,2023-12-21 10:36:12,1338.55,"cummings, washington and ray",travel
287d06ca-6f4c-469a-8b22-d3081c8eaee9,YXIH47452455574696,2023-12-21 20:40:44,4683.59,edwards inc,utilities
b8db0672-f42d-47cc-80d4-af5974273ca3,YNAY60652740334450,2023-03-11 14:30:27,3241.94,"campbell, hansen and thomas",healthcare
f8cda88b-436d-46e2-b83c-fe0be037e5ed,KNZM58833987411325,2023-04-26 09:33:26,3047.61,foster group,housing
81f76d1c-2dbc-4134-830f-f46e8026695f,XPXS70673499601054,2025-01-02 07:36:47,859.84,rogers-nichols,clothing
a013ac6e-deda-4e16-9b3d-bd5ce9a1fa6f,RLOJ17215622949381,2024-07-10 23:24:04,3646.99,mullins-oliver,transport
81f631d4-a392-41a7-9777-a4774c66e0a8,OHKS84884021557325,2023-06-26 18:12:13,821.2,lutz-sanders,shopping
5fb8d16c-2720-497d-b2eb-d6899be578c7,OHOL53449021666708,2023-04-10 05:47:17,1900.38,alexander-marshall,housing
f4188f3f-8a14-4e62-a95b-4715c333e861,BQLA96085874951191,2024-08-01 13:37:43,4947.67,"dixon, foster and hardy",education
eb2263dd-87c5-421e-ac24-a3c5c754108f,RYDR28197931647725,2024-01-27 21:17:39,3201.8,johnson-valentine,education
7d154385-52fb-443b-9954-6eb400257ad1,CFUS57860694096003,2023-11-17 02:07:54,2786.96,fischer plc,clothing
5cec4eb5-edd9-4831-9ca3-5cfb04fc6d82,KNEI39587395923234,2024-09-02 07:46:08,3424.65,bishop group,education
ce88cb2d-d4e8-4839-bc3e-058be0f3eab0,FDAR90285155333426,2024-12-03 18:48:00,4215.05,stevenson llc,grocery
3da9c2a9-0ed4-4f1a-bd4c-bf374eb93eff,IHGY50271607360776,2023-04-25 09:24:34,3881.12,"henderson, meyer and white",travel
14296c07-f26b-4776-913e-4de2e0c53cb8,GGYM91128981231795,2024-11-01 22:36:45,1149.1,lewis-campos,utilities
d0e6e660-7c69-4ee1-bb5e-4bcf15ed6269,XKNG31857481700666,2023-10-03 23:30:23,165.34,"walton, simpson and parker",healthcare
885f6e66-c2b6-42c5-ba5d-310011b7e948,DLLJ16431670450232,2024-08-19 11:21:25,1580.69,garner-liu,fitness
a8e56e0c-20de-435d-a031-d750c40db9b4,SAEQ22700934596262,2024-12-18 00:17:05,1342.37,"rowland, bates and rodriguez",housing
2a45c2ab-8cbf-4db0-b264-accc79ac1b1e,FQEX25120734654950,2024-05-21 08:11:29,1058.86,"johnston, parks and espinoza",utilities
9b49bd26-df57-459a-8715-a10343dac043,ZAKA70260869822105,2024-07-12 23:29:42,4714.83,"cortez, mcmillan and wallace",housing
edcd465e-3638-4821-b6e0-7cc06c52c49f,HCNC17768729047742,2024-02-14 08:14:22,4382.46,"bird, alvarado and hanna",transport
b09b2a5c-badc-432a-8159-0f538a0f4efb,KVRL91779323822311,2024-08-25 07:43:31,1576.82,dawson-harrison,savings
66245bfa-4fcc-439a-b683-d2e6337ea2df,WMJT13342457988942,2023-12-11 13:39:31,3278.92,"wang, brady and nelson",fitness
5f987c71-a65e-488e-abf3-ad39fec21bbe,KNLV29060320203265,2023-11-01 08:39:19,1981.18,nelson group,shopping
7394988f-847f-49b4-a64d-1bcb702753a1,ASPP53967379487148,2024-08-14 18:11:34,4573.17,mcdaniel-williams,entertainment
1064005c-3985-43cf-bf76-be1d1efa2197,KKFI57871584156082,2024-07-15 15:08:55,2296.97,"white, cunningham and hunt",electronics
8dcdcd03-969b-4662-8562-8059568cc69b,DHOD18425476818268,2023-01-23 00:42:53,1328.08,"jenkins, kemp and carroll",fitness
01d74256-3860-4ab6-96a4-02f23ae8cc93,GEVH03589298808583,2024-12-12 00:11:43,1236.9,thompson-brown,healthcare
0f1259e0-a18f-46b6-b535-106e122c9a56,WQFL21293289634064,2023-08-20 17:50:10,2809.03,wilcox-hunt,grocery
080aadfb-e7c9-4b26-9141-25c63a9bedd4,MQNP75240148439910,2024-07-23 21:07:50,1317.39,dyer group,entertainment
